CodeListIdentifier;VersionIdentifier;ScCode;TaxonomyCode;LatinName;ParentReference;AuthorName;CodeReference;StancodeKeyUniqueIdentifier;StancodeGuidKey;StancodeKeyReference;ReferenceTypeName;LastUpdateDate;CreationDate;ApplicantIdentificationText;ParentStancodeKeyReference
1064;1;70;1510010200200;Cladophora fracta;0;(OF Muller ex Vahl) Kutzing;70;1030075;4e937bd2-a3cd-4286-9ffe-4686da79f9ad;1030075;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;71;1510010200300;Cladophora sauteri;0;(Nees) Kütz.;71;1030076;ebba96cd-9d30-418d-9ab7-8f3f29cb35cb;1030076;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;72;1510010200400;Cladophora aegagropila;0;(Galezatka). Rodzina;72;1030077;899f31e6-f24d-4565-9a2e-e7a5c8f1345e;1030077;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;73;1510010200500;Cladophora glomerata;0;(L.) Kütz.;73;1030078;0a2de927-d1b0-4db9-94ee-0436298fccd4;1030078;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;74;1510010201700;Cladophora sericea;0;(Huds.) Kütz;74;1030079;bbb0babe-caa3-42b3-8638-289c3ebe277c;1030079;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;75;1510010500000;Rhizoclonium;0;Kutz.;75;1030080;633c4bbc-e8f3-4330-ab65-857e0b7ffac6;1030080;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;76;1601010000000;Characeae;0;;76;1030081;adb74467-42be-44eb-b4b8-c35dfa8cb356;1030081;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;77;1601010100000;Chara;0;;77;1030082;ea89ecfb-61df-4e7a-85f8-1678b343762f;1030082;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;78;1601010100100;Chara aspera;0;Dethard. ex Willd.;78;1030083;e215577d-2108-4642-8e66-9aaad543064e;1030083;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;79;1601010100101;Chara aspera var. aspera;0;Dethard. ex Willd. var. aspera;79;1030084;896a67f9-ae89-4bed-b639-9e9ab2f2b224;1030084;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;80;1601010100200;Chara baltica;0;Chara baltica Bruzelius;80;1030085;88bd987f-7c92-4b4b-9291-a21c0b605301;1030085;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;81;1601010100600;Chara hispida;0;;81;1030086;2b763428-7a86-4347-88d6-e5fbbf32c591;1030086;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;82;1601010100601;Chara hispida var. hispida;0;;82;1030087;d2e81ff8-73df-41de-907c-c170c6b8df83;1030087;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;83;1601010100603;Chara hispida var. major;0;(Hartm.) R.D. Wood;83;1030088;0979d6bf-c0d5-486c-8aad-163151cef6a8;1030088;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;84;1601010100800;Chara globularis;0;Thuill.;84;1030089;59d90157-b2c8-4f89-86e9-a356f5a7210a;1030089;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;85;1601010100801;Chara virgata;0;Chara virgata Kütz.;85;1030090;fa6101a5-1348-40ee-88d8-a81a4211b94d;1030090;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;86;1601010100802;Chara globularis var. annulata;0;(Lilj.) N.F. Stewart & J.A. Bryant;86;1030091;e144d725-7793-4f0f-82b9-0f13b80e1d04;1030091;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;87;1601010100803;Chara globularis var. globularis;0;Thuill. var. globularis;87;1030092;9b274c0d-73ab-4020-a2f8-10e7b82e9f13;1030092;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;88;1601010100804;Chara virgata var. bulbillifera;0;Kütz. var. bulbillifera;88;1030093;b4ab3e7f-46bc-404f-af71-31278e7f4dba;1030093;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;89;1601010100805;Chara virgata var. verrucosa;0;Kütz. var. verrucosa;89;1030094;c6aad3d3-a6db-4660-b9f8-542166a8090a;1030094;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;90;1601010101000;Chara rudis;0;(A. Braun) Leonh.;90;1030095;91f5484e-cd28-4bb1-b62f-25398b65750f;1030095;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;91;1601010101200;Chara tomentosa;0;;91;1030096;994db988-e724-4e2c-ab89-9cc0f3076611;1030096;Valid;27-01-2020 13:50:01;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;92;1601010101300;Chara vulgaris;0;;92;1030097;04cfbc2b-19d5-4cc6-bea7-678ea72b81ff;1030097;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;93;1601010101301;Chara vulgaris var. longibracteata;0;(Kutz.) J. Groves & Bull.-Webst.;93;1030098;51a735dd-34f4-4a7c-bfc9-4142cf539efa;1030098;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
