stancode,latin,danish
232,Lophozia ventricosa var. ventricosa,-
233,Lophozia wenzelii,Skeblad-foldbæger
234,Mylia,-
235,Mylia anomala,Mose-fladmund
236,Nardia,-
237,Nardia geoscyphus,Sæk-kappesvøb
238,Nardia scalaris,Tæt kappesvøb
239,Tritomaria,-
240,Tritomaria exsectiformis,Skævbladet tretand
241,Tritomaria quinquedentata,Bred tretand
242,Lejeuneaceae,-
243,Cololecejunea,-
244,Cololecejunea calcarea,-
245,Lejeunea,-
246,Lejeunea carvifolia,-
247,Lepidoziaceae,-
248,Bazzania,-
249,Bazzania trilobata,Stor styltemos
250,Kurzia,-
251,Kurzia pauciflora,Mose-dværghånd
252,Lepidozia,-
253,Lepidozia reptans,Krybende fingermos
254,Lunulariaceae,-
255,Lunularia,-
256,Lunularia cruiata,-
257,Marchantiaceae,-
258,Marchantia,-
259,Marchantia alpestris,-
260,Marchantia latifolia,-
261,Marchantia polymorpha,Almindelig lungemos
262,Preissia,-
263,Preissia quadrata,Almindelig kvadratmos
264,Metzgeriaceae,-
265,Metzgeria,-
266,Metzgeria conjugata,Børstehåret gaffelløv
267,Metzgeria fruticulosa,Blågrøn gaffelløv
268,Metzgeria furcata,Almindelig gaffelløv
269,Pallaviciniaceae,-
270,Moerchia,-
271,Moerchia hibernica,-
272,Pallavicinia,-
273,Pallavicinia lyellii,Almindelig strengløv
274,Pelliaceae,-
275,Pellia,-
276,Pellia endiviifolia,Fliget ribbeløv
277,Pellia epiphylla subsp. borealis,Nordlig ribbeløv
278,Pellia epiphylla subsp. epiphylla,Enbo ribbeløv (underart)
279,Pellia neesiana,Tvebo ribbeløv
280,Plagiochilaceae,-
281,Plagiochila,-
282,Plagiochila asplenioides subsp. asplenioides,Radeløv-hindeblad (underart)
283,Plagiochila asplenioides subsp. porelloides,Liden hindeblad
284,Porellaceae,-
285,Porella,-
286,Porella arboris-vitae,Peber-skælryg
287,Porella cordaeana,Bæk-skælryg
288,Porella platyphylla,Almindelig skælryg
289,Ptilidiaceae,-
290,Ptilidium,-
291,Ptilidium ciliare,Almindelig frynsemos
292,Ptilidium pulcherrimum,Stub-frynsemos
293,Radulaceae,-
294,Radula,-
295,Radula complanata,Almindelig spartelmos
296,Scapaniaceae,-
297,Diplophyllum,-
298,Diplophyllum albicans,Stribet dobbeltblad
299,Diplophyllum obtusifolium,But dobbeltblad
300,Scapania,-
301,Scapania aspera,Kalk-tveblad
302,Scapania calcicola,Bakke-tveblad
303,Scapania compacta,Tæt tveblad
304,Scapania curta,Dværg-tveblad
305,Scapania gracilis,Gulbrun tveblad
306,Scapania irrigata,-
307,Scapania mucronata,Brodspidset tveblad
308,Scapania nemorea,Lund-tveblad
309,Scapania paludicola,Sump-tveblad
310,Scapania scandica,Liden tveblad
311,Scapania umbrosa,Hvidgrøn tveblad
312,Scapania undulata,Bæk-tveblad
313,Trichocoleaceae,-
314,Blepharostoma,-
315,Blepharostoma trichophyllum,Almindelig hårfligmos
316,Trichocolea,-
317,Trichocolea tomentella,Bleg dunmos
318,Ricciaceae,-
319,Ricciocarpos,-
320,Ricciocarpos natans,Flydende skælløv
321,Riccia,-
322,Riccia beyrichiana,Stor stjerneløv
323,Riccia canaliculata,Gaffel-stjerneløv
324,Riccia cavernosa,Grubet stjerneløv
325,Riccia glauca,Blågrøn stjerneløv
326,Riccia huebeneriana,Dam-stjerneløv
327,Riccia fluitans,Svømmende stjerneløv
328,Riccia sorocarpa,Almindelig stjerneløv
329,Riccardia,-
330,Riccardia chamedryfolia,Smalfliget ribbeløs
331,Riccardia incurvata,Rendet ribbeløs
332,Riccardia latifrons subsp. arctica,Nordlig ribbeløs
333,Riccardia latifrons subsp. latifrons,Bred ribbeløs (underart)
334,Riccardia multifida,Fjergrenet ribbeløs
335,Geocalycaceae,-
336,Geocalyx,-
337,Geocalyx graveolens,Krydret posemos
338,Lophocolea,-
339,Chiloscyphus,Læbemund
340,Chiloscyphus coadunatus,-
341,Chiloscyphus latifolius,-
342,Chiloscyphus minor,-
343,Chiloscyphus pallescens,Bleg læbemund
344,Chiloscyphus polyanthos,Almindelig læbemund
345,Chiloscyphus profundus,-
346,Anthocerotaceae,-
347,Anthoceros,-
348,Anthoceros punctatus subsp. agrestis var. agrestis,-
349,Anthoceros punctatus subsp. agrestis var. douinii,-
350,Anthoceros punctatus subsp. punctatus,-
351,Phaeoceros,-
352,Phaeoceros laevis subsp. carolinianus,-
353,Phaeoceros laevis subsp. laevis,-
354,Sphagnopsida,Tørvemosser
355,Sphagnaceae,-
356,Sphagnum,Tørvemosslægten
357,Sphagnum affine,Stribet tørvemos
358,Sphagnum angustifolium,Rødgrenet tørvemos
359,Sphagnum austinii,Austins tørvemos
360,Sphagnum balticum,Tætbladet tørvemos
361,Sphagnum capillifolium,Plyds-tørvemos
